Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,8,245988,36,268,330176,2481960,14
3,26,295308,43,450,1199250,3484676,15
3,33,709038,22,506,1414941,7347175,1
3,38,663910,114,570,1074298,10879501,6
2,23,834049,69,678,1278742,4325736,12
1,5,367590,45,220,572195,1291795,8
3,35,296438,93,618,740075,3797885,5
2,13,267013,13,416,873060,4753924,7
2,19,544654,85,741,906205,2763626,5
2,17,180591,42,76,674866,3908461,3
2,17,295587,8,255,938697,5047045,14
3,32,462570,106,704,1947253,10171402,3
3,33,530079,55,55,1509112,3312661,2
1,5,244780,5,30,350255,2452280,3
2,17,277151,85,612,437673,5152700,1
3,31,500629,93,919,1301256,6021646,12
3,30,346250,60,290,886970,7849480,2
2,18,378639,90,882,851706,4619709,1
2,21,691110,52,346,1583263,1047375,10
3,26,194289,26,615,1181994,6571456,2
3,36,253476,36,972,622836,6971628,12
3,34,715337,113,328,1416508,7584765,9
3,33,673420,55,429,1028610,10333972,4
3,39,723853,26,494,868244,2604030,11
2,20,351370,40,220,529270,6996320,7
1,3,116217,21,45,591390,1406883,13
1,6,194370,12,498,1126584,1325778,15
3,27,240606,45,756,492615,5250321,6
2,10,182875,5,155,517390,3990025,15
2,13,235852,26,156,941050,2045719,2
3,28,690041,18,868,1462440,3882181,12
2,12,251238,54,336,1086012,2911734,6
3,25,419966,75,783,851391,2300725,2
3,25,361041,66,791,1169925,8225575,3
2,24,261852,96,120,2389176,8043504,13
2,15,462930,67,202,676020,2042160,14
2,8,155868,24,60,522476,2537380,2
3,30,633220,70,710,1663450,6522120,1
3,27,519975,9,576,616194,6744501,8
1,3,216954,27,105,240519,180927,14
3,32,325205,10,373,1536288,2403712,10
3,38,798874,50,101,1798692,3249114,7
3,36,807852,24,372,2350620,7348152,11
3,29,532159,38,299,1355228,2709615,12
2,17,186779,8,8,1535593,8421222,3
3,38,888832,76,899,2334580,6295295,1
2,19,237842,76,152,1452892,1936679,15
3,34,830506,56,453,1949242,2190914,8
3,26,604110,52,398,755542,1411436,3
2,24,462288,120,660,1639812,2333100,5
3,38,526148,12,88,2463172,11619513,13
2,24,669492,60,132,955320,5838564,12
3,34,555197,68,113,1928888,1881265,5
2,9,314730,18,279,611370,3277660,12
2,20,493670,10,170,598490,7535260,2
2,15,160687,7,562,1069065,1824450,15
2,18,183960,90,846,554274,1048266,4
1,4,279648,24,128,304976,2068208,12
2,21,709191,52,189,1552225,9066844,1
2,15,406485,22,652,641122,1731720,11
2,8,215732,24,128,235796,3100236,1
2,11,285824,33,126,297720,704561,15
3,28,679504,46,18,1156820,5110326,12
2,19,563483,28,950,1277636,8776584,4
2,23,298252,115,322,1995491,1582779,4
1,3,119730,12,60,432558,2849100,3
1,3,119841,30,189,376683,2967027,13
3,33,413039,88,1078,1014816,658218,11
3,30,434470,20,980,904860,5925630,7
3,37,740974,24,98,794784,2203892,8
3,34,446340,11,22,1488678,11017280,3
3,34,520936,113,79,1347998,5609875,8
3,36,283512,84,1116,1040508,6171384,13
3,29,402471,58,734,585452,4824962,13
2,22,407154,22,473,1098658,1569777,14
2,20,523110,70,410,559210,7454940,11
3,36,240684,120,480,1367784,4627332,10
2,21,451930,105,126,957883,5438223,5
2,22,536778,55,539,898425,3316830,15
3,32,697088,10,970,672288,6510549,10
3,25,388416,58,416,1282966,1545016,8
2,24,691296,96,828,1582968,2721312,10
1,2,47380,2,184,159504,1485468,8
2,15,437775,45,165,1168702,1644390,8
2,21,313078,84,693,1868433,7541625,15
1,6,323232,54,420,333498,2384838,15
3,40,701693,53,240,921720,6795946,11
3,30,405960,50,510,1149130,9526530,10
3,35,398113,93,256,1298371,10552616,15
1,5,125800,35,475,678020,551515,11
3,36,400548,120,672,845124,10564692,6
1,3,101400,6,267,173016,2721954,14
3,28,373557,74,317,1076497,6280708,11
3,33,221760,22,1012,1472042,9178983,14
2,19,308759,28,142,601027,5093662,12
3,27,521082,72,54,1600353,7027479,7
3,36,587928,120,744,1354056,8170512,9
2,17,422356,76,42,579428,5841361,14
2,24,433620,120,132,833664,3873768,12
1,2,116314,10,16,268140,879146,4
1,3,73035,18,93,405459,878748,1
2,11,196658,27,225,919121,3418101,14
2,19,425115,66,636,1228502,3416152,7
3,30,652800,80,980,1938740,6378210,11
1,6,364512,48,204,565380,631506,11
2,20,415140,60,670,1167080,7984590,13
2,10,218400,20,420,562610,4374675,1
3,36,552252,72,960,1522188,8562948,12
2,14,392504,42,70,914123,5331095,5
3,25,206291,8,291,999308,1188425,9
3,31,256804,72,382,1422724,9020504,4
3,36,385680,84,732,1133808,7563144,3
2,15,408187,30,165,1093582,3618630,12
2,15,533932,75,7,1484257,2553150,5
2,24,563364,84,1008,1541844,1927428,9
3,33,682022,110,935,1245805,6022797,8
3,40,374586,133,1173,2124626,9836040,8
2,17,550290,51,127,1227774,5831144,10
1,2,80766,14,170,297584,662514,5
3,32,383626,106,373,2061472,5858058,8
2,22,749331,99,363,2118732,3335266,5
2,14,434777,70,420,630532,1291024,8
1,5,255135,50,240,636100,3477690,4
3,31,392780,31,940,939517,3965737,1
3,39,792987,130,1157,2101203,8195031,8
2,21,406759,42,945,1816752,1917447,9
3,38,673030,76,1026,1497922,946440,8
1,2,140682,18,122,119008,490906,6
2,19,659765,85,807,1206842,1193504,13
2,15,271605,37,735,459487,4447117,1
2,13,349479,45,572,1040767,3498274,11
2,8,270248,36,40,776568,1395716,4
2,19,246962,76,294,983972,5342239,15
2,24,447360,72,612,968124,3309780,10
1,5,181440,10,265,978745,945280,3
3,30,513440,10,500,1378810,8377620,14
1,1,20256,1,25,131085,55355,1
3,29,292175,96,908,1768159,8456023,13
3,26,604690,43,372,1721780,8559564,4
1,4,217032,24,4,424772,1782848,15
1,1,64204,3,36,108483,574378,7
2,20,283180,50,640,1172990,6139670,3
2,14,146307,14,553,996422,589057,2
2,23,587972,46,391,899886,4848917,8
3,32,712640,96,1013,695968,656000,11
3,32,655018,85,906,1370336,4598090,1
2,13,472823,45,175,836387,6227604,1
1,1,26016,1,10,153001,420148,9
2,19,560528,85,826,676856,1514699,15
2,15,206572,45,427,1338315,6962670,8
3,35,485951,81,175,1055810,2704485,11
3,39,350480,26,897,2057575,7951281,1
2,10,251850,40,500,937155,1552880,14
3,34,802808,56,634,640072,10031496,12
2,14,419440,56,427,1011570,2834412,1
3,39,332917,78,325,1440088,5484596,4
2,15,326392,52,675,1398150,554715,2
3,39,409175,39,429,1333566,3080467,10
3,26,250137,69,69,1461685,2398023,2
2,11,184299,38,286,294321,4800482,7
3,26,350124,60,528,1522629,2243696,1
3,31,258178,82,475,1909352,5187829,10
1,4,249348,20,248,763200,1190280,10
2,24,589776,72,660,1468248,3555972,7
3,27,483453,81,855,777924,1496241,8
2,9,169911,27,261,457825,3136738,3
3,38,535635,114,468,1482620,6674028,7
3,28,369180,37,709,1219138,6468914,4
3,36,548100,36,408,953892,4377840,2
1,1,33550,6,83,182695,356084,5
2,19,527582,76,66,1364162,7664305,3
1,1,43517,2,75,77824,55793,13
3,27,434835,36,72,1400454,1703601,10
2,21,560857,105,577,1929459,7348614,9
1,5,113260,25,450,626865,685960,4
3,40,865520,133,933,1460466,7340760,8
2,8,194264,20,280,401404,3915384,14
2,15,304132,52,480,558442,6534562,10
1,6,380964,30,48,564588,3824832,12
2,20,479530,60,540,1506840,6901620,1
2,23,438541,69,483,1878536,10394378,4
3,31,221856,51,713,1265668,8782496,9
3,27,327825,9,792,1089927,4695426,1
3,38,495570,114,367,2395456,4885812,12
3,36,867456,36,636,1033044,8410140,12
1,6,377550,48,414,734418,3650520,10
3,37,330915,111,1134,1797201,11974569,5
2,23,716783,11,195,1461972,1330308,1
3,31,419802,82,795,701674,3355688,8
2,10,117795,50,75,989290,667340,11
2,11,236450,49,231,686180,637114,6
2,7,221784,28,105,179469,2410131,5
3,26,356330,26,502,690967,480610,8
2,7,193413,28,234,619290,3300899,13
2,7,208547,17,217,486020,3230412,9
3,26,550714,43,95,764443,3430422,1
3,35,311103,105,933,1869723,3612035,5
3,34,538446,68,249,1048696,2316896,8
1,6,330384,36,450,435732,2577354,8
3,34,233500,11,691,738899,6976290,12
3,33,347644,11,1034,1671582,8886966,2
1,2,149132,14,92,260464,344334,13
2,9,287878,45,31,659106,3146229,1
2,23,844215,80,172,1402758,2505171,1
2,17,429564,34,340,1218339,1138745,13
2,7,130872,21,238,577066,1523707,12
2,17,587231,68,289,1443002,8394778,2
1,6,179712,36,492,868974,1253112,8
3,39,546156,117,1170,2298283,3365622,2
3,32,722218,32,21,1093866,6593301,12
2,12,448008,42,36,467082,4830954,12
3,32,683349,10,384,1511445,556661,11
2,19,334343,85,712,719463,3597659,6
2,13,444580,52,305,1157234,900679,13
2,9,226273,22,90,448830,3347455,12
2,15,197145,60,705,1046977,4898025,13
1,3,165999,24,255,439596,821709,11
2,15,486397,45,562,506767,6857055,4
1,5,286055,20,355,897505,4242280,6
2,16,195360,64,792,426920,746856,5
3,31,669269,62,868,977481,8356463,6
2,10,330465,20,210,429705,3282050,15
2,23,479147,69,230,1656414,654568,4
3,29,225678,48,435,1723102,1975093,7
3,25,212050,16,325,1651408,5711433,11
1,3,77898,6,54,480363,174651,15
1,4,162976,32,36,677388,3644100,7
1,5,144605,15,345,566280,820670,4
2,19,647301,95,722,1713135,7408869,9
3,26,453960,17,450,685741,5370447,3
3,32,384629,74,992,1740682,9527317,1
3,27,239949,18,315,1021959,3473631,11
1,3,172818,18,75,415398,1724994,7
2,7,168000,24,84,349594,1525058,7
2,24,837180,24,1032,1201620,9523884,7
3,30,297710,10,950,1960750,5608890,12
3,36,633060,96,672,1765704,4816392,6
2,8,154724,28,52,489888,2545996,12
2,20,562790,100,920,549820,4418340,3
2,21,309046,94,378,1294261,3445050,2
3,37,624769,24,407,736534,9057131,15
3,40,930706,120,960,2561346,9694826,10
2,11,150133,44,324,930264,2169865,11
2,10,361230,15,250,513290,845510,4
2,11,139210,33,99,453359,308528,5
3,35,644350,11,980,1265856,6066316,14
3,40,434173,26,66,1804946,4007746,5
3,29,359909,48,77,1009403,2798065,12
2,22,799084,22,957,792066,3056966,9
2,8,224764,28,264,251268,962968,4
2,12,205788,54,546,1080906,1511424,15
2,14,479885,63,672,565341,6104777,14
2,24,695544,24,1056,604392,3258216,6
3,37,390646,111,641,1862247,6712145,7
3,35,785353,116,863,868618,688275,5
2,10,112555,25,490,842890,471390,2
2,18,547677,18,621,1549836,4914648,7
3,36,500760,48,792,2155476,8680296,10
3,39,477542,91,624,1909583,4623320,1
2,9,193297,22,202,644629,3417201,4
2,21,487935,73,399,798525,5430400,3
3,35,342603,116,583,665840,2156455,8
2,8,198872,36,216,382980,1305176,3
3,34,251838,79,691,1340110,9655331,1
3,37,392076,74,123,1542789,8201494,12
3,27,267750,72,423,743580,5829237,3
2,9,300604,13,40,368046,1711809,9
2,12,445212,42,414,910608,2664786,15
3,25,283858,25,516,1319766,804766,15
2,12,429546,54,426,900882,3187404,3
3,32,694698,64,416,886709,1483893,3
2,20,732220,20,210,1316100,2869180,6
3,27,293481,72,423,1496151,7919919,8
3,37,348601,98,320,825322,10603102,2
2,19,433627,9,703,1756825,3762665,4
2,20,488320,40,820,1894700,5044760,2
1,4,192384,28,60,458924,1365888,14
2,9,320391,22,72,643734,635580,10
3,34,799895,34,90,2124716,5173066,2
1,2,64966,20,160,156590,1996250,13
2,17,506906,85,476,1046528,7303693,4
2,8,127652,32,260,575320,3324412,14
3,36,297456,108,792,1665792,8468520,10
1,4,152740,12,32,483324,654572,15
3,37,859719,86,1171,2401485,1619428,5
3,35,857255,116,1050,979626,3547716,6
2,14,219261,56,609,704235,5494209,8
1,1,56313,4,21,75695,752603,5
3,26,251576,26,780,1602562,2579676,10
2,22,570317,33,286,2019919,8709833,14
2,10,198780,30,440,905675,4757340,15
2,15,453960,7,67,389580,564690,2
3,25,281575,25,266,681708,5980141,5
2,11,312163,22,5,930501,1375616,6
2,22,572121,22,528,1122748,1823514,11
2,12,369858,48,552,484212,3618210,4
2,20,707250,40,460,1666550,840850,7
2,22,404932,77,297,787996,1562033,8
1,5,307740,35,180,316240,1615575,7
3,33,319055,77,693,1972278,1171984,13
2,16,440800,48,352,1210360,5697696,7
3,36,328728,72,360,799776,1019508,4
1,5,329780,5,310,855350,3505740,1
3,36,586428,36,924,1124196,1496340,13
2,11,191246,38,506,1073847,5468820,6
2,24,672228,12,552,2317356,8195856,12
3,29,197702,96,338,1793804,8071840,13
1,3,107127,9,93,355377,1485870,8
2,7,262206,10,91,355582,633017,5
2,12,197568,24,42,325584,1344930,10
2,13,405099,26,221,333411,859865,10
2,11,347149,55,522,349805,3566222,2
2,23,462219,92,1127,761829,11488546,10
1,3,197439,18,45,524556,626790,7
1,2,81106,10,22,202306,1347132,10
2,13,316530,58,513,623304,5719200,3
3,32,699402,85,661,1080341,5075648,15
2,22,571703,22,418,1096084,8682575,4
1,3,155844,24,102,345360,661746,8
3,34,273314,22,578,1356237,1023672,15
2,13,197151,52,84,505589,4075799,15
2,12,267096,60,546,1054200,2615052,13
3,38,725546,25,164,2255844,8286039,13
2,22,660165,55,11,983180,5895637,8
3,28,537254,28,46,1026900,1150230,7
2,13,197821,6,552,999563,3411343,14
3,37,294347,86,98,1296788,2760940,2
1,3,220884,9,249,275106,2158893,3
1,5,281620,15,335,250985,3134450,11
2,11,133155,27,363,818691,2371094,2
2,11,295300,16,176,924973,1320396,15
2,13,470450,39,442,781579,3621130,14
2,21,556416,21,651,1422046,3036001,12
2,7,234570,10,77,440629,863040,15
3,30,696880,60,410,1801770,9864160,9
3,34,700241,113,680,1639956,7667884,2
3,25,230183,33,233,1099241,4549341,4
2,18,262107,45,873,1154862,3973554,14
3,25,572016,25,425,588066,4735683,10
3,25,571633,75,558,1365000,4661600,12
3,33,759506,99,715,1903748,8469527,14
2,9,241393,18,49,338535,2879527,10
2,24,352740,108,1116,1514568,5214480,14
2,24,428628,24,1188,1420272,9670860,7
1,3,191274,24,240,406761,1969044,3
3,40,480733,13,800,691173,11319520,6
2,11,292242,33,500,778508,2469137,2
2,12,228432,6,240,860442,4761840,4
2,14,520009,35,525,1244285,1411557,4
1,1,35276,8,60,92548,979433,6
3,36,786420,12,600,711804,2090688,14
3,27,621081,9,675,871002,5530536,15
3,37,521712,12,777,1677826,8418597,1
1,2,45536,10,44,153070,1483638,10
1,5,218325,20,380,885145,3300925,15
1,6,352950,12,48,802374,2785854,9
2,23,622966,46,609,777469,10880081,11
1,5,158765,35,500,357245,3501375,15
2,21,739242,73,703,1669479,4930254,8
2,10,100040,15,130,897315,2480575,5
1,4,207388,4,192,694548,3794944,9
2,12,334122,42,240,934518,5043642,6
1,4,135192,24,320,263124,1571592,8
2,23,810899,57,1081,1042831,6793820,7
3,38,693272,114,532,2270360,6942131,9
1,4,236140,40,348,352700,2576108,6
2,9,211900,9,382,739440,1454499,6
3,33,486255,44,682,1178199,10757109,6
2,20,250690,90,160,941380,5266460,13
3,38,586492,76,671,1672684,10920934,11
3,30,440230,100,950,1104210,5128780,10
3,30,284870,90,550,674810,7488330,15
2,19,250524,66,28,1599524,2384842,8
3,25,315750,33,691,1167225,2037108,14
2,18,541260,36,270,1645002,1210824,7
3,40,997306,66,400,2395826,5093186,11
3,38,568492,12,392,1947221,8631446,12
2,8,246216,12,300,751088,2028036,13
2,8,173848,28,136,306612,3320288,11
3,29,270995,58,870,1175679,7607454,1
3,27,325170,36,513,669573,7442721,9
3,33,503305,55,572,1353429,5263808,14
3,39,501033,26,65,989703,10949003,12
3,32,312074,106,501,1947616,3034624,8
2,9,147532,45,193,363208,371785,15
1,1,36687,9,58,137238,741581,12
2,23,645679,115,747,2041399,8036775,10
2,22,357401,99,253,2188131,2951894,13
3,39,313755,65,949,2192437,1172028,7
2,21,245217,105,682,1703184,6549081,15
2,14,208922,63,77,990479,4284553,7
3,37,464609,86,1060,2280186,9311358,7
1,6,216486,6,390,975834,5555676,5
2,16,307648,80,96,834968,1611320,1
3,38,263682,114,1216,951102,9568438,3
2,8,244304,28,280,398948,2816296,10
2,23,311385,57,540,1096525,2462437,10
3,30,299440,50,900,1240500,766270,8
3,34,323317,102,1065,1741627,3714194,2
3,28,302064,93,858,966830,1238169,15
3,34,577342,11,986,1255404,6674608,12
3,32,452256,106,32,939274,7615477,7
2,21,764295,10,147,1357209,780087,14
3,32,561034,32,224,1215402,7100629,3
3,38,396302,101,772,2354201,9357208,10
3,39,443508,39,507,2117609,9285471,10
3,36,466896,48,528,1944192,8302740,11
3,38,561285,25,595,2306448,1712191,10
2,24,484308,84,1140,1737312,7294668,14
2,13,428395,13,273,1140678,1113476,4
2,17,360434,76,552,1005312,8269565,15
1,5,181225,35,210,995855,1586445,2
3,26,454844,69,598,1182757,7083414,6
1,6,251514,54,396,901356,1734012,8
2,13,284186,45,585,1046474,4990654,4
2,10,123260,45,70,510290,2328125,10
2,21,327043,52,808,1150590,2582065,8
3,40,455826,26,1320,2175626,4039960,8
1,3,144087,6,57,487320,1191651,6
2,20,581960,10,180,1283000,2523120,15
3,27,427221,36,810,546003,8685036,6
3,33,234014,55,693,1574155,5024613,10
2,17,212211,59,204,1136110,3858881,12
3,38,873088,114,886,1499682,4242611,9
2,24,268632,108,924,2190696,8842320,3
1,3,144531,6,258,535995,614487,6
1,4,197348,16,104,472524,678452,1
3,36,545496,72,300,850776,4780872,8
1,2,92098,18,108,393496,956792,2
3,25,207983,83,83,1643350,1295250,10
3,29,378285,48,444,1546193,9026211,10
3,30,509610,80,40,691940,4446280,5
3,31,382757,93,299,1066968,7484371,8
2,15,448642,52,720,894465,5492077,6
3,27,523305,45,90,1038582,6831333,6
1,1,68670,9,61,120950,330895,2
3,32,387680,21,405,1488757,2335701,4
2,19,471475,57,199,840959,2010314,10
1,6,429816,42,480,696042,4260642,15
3,25,339183,75,191,785216,6595833,11
1,4,262332,40,372,460184,1438256,3
2,13,159770,65,52,1196429,4591418,5
3,30,478740,90,220,1579090,845310,10
2,23,581336,57,333,1980668,10309761,11
3,39,523848,78,949,885287,9925721,7
2,11,192065,44,335,295669,2776130,7
2,21,341638,10,262,1630114,3913056,5
3,32,416373,32,672,2121664,4556832,2
2,23,262039,46,759,1871498,8478007,6
2,15,290850,52,360,1003807,514455,12
2,12,327162,36,354,583350,3520368,2
3,34,672894,34,374,912662,11104638,4
2,21,252934,63,441,1778605,1383228,7
2,14,363244,21,315,737968,1307061,7
1,2,84766,8,102,358032,215306,1
2,15,545640,67,217,398865,2089297,3
2,9,238117,45,112,830461,799146,7
2,22,560802,77,924,1831764,7870346,3
2,7,230366,28,42,655914,1173084,10
2,14,155323,35,35,476637,1939161,5
2,12,409818,6,150,935886,1467738,7
3,37,869845,86,1011,2395084,789974,6
2,10,184320,10,180,443915,3660295,11
3,40,642453,26,1146,2230333,9597093,5
3,38,660250,50,506,1641473,11931252,11
3,30,749800,10,790,1599760,3727020,7
3,33,244783,110,385,1788226,8491956,6
3,40,523626,26,746,727493,7506000,14
2,13,437508,65,65,549789,6457282,14
2,22,428087,11,561,1176780,4152797,6
2,17,619735,8,705,1217608,3339616,12
1,1,59892,5,14,153245,244982,11
2,11,250899,22,242,408776,3131535,1
2,14,270767,35,77,1014951,2724561,1
2,20,705950,10,250,1654130,3342690,1
1,6,218340,12,174,580236,3671556,1
2,11,197213,49,275,558794,588340,9
3,35,436660,46,886,1461308,2388131,13
3,29,614935,87,609,1636644,1229658,8
2,17,502528,68,34,501670,870391,9
2,7,80195,21,73,443709,617592,15
3,30,319250,10,20,998520,3660690,13
2,10,178830,45,65,397740,1222360,14
2,20,301410,50,600,1373200,4093060,8
2,14,470477,42,56,1016911,6784939,4
2,20,271700,60,320,1604170,2741340,10
2,18,298449,27,99,1341117,2602494,15
1,5,257065,10,175,447140,1448075,2
1,4,167828,20,352,716160,3458456,5
3,39,749398,78,936,1518296,3818958,14
2,19,429438,28,180,1377566,4452583,1
1,2,90852,12,128,378146,865262,4
2,13,408375,65,338,940426,1586026,9
3,34,484341,68,782,1411362,751479,4
2,21,545695,73,105,1150947,8513862,3
3,31,676244,103,568,1663119,9104193,12
1,2,65852,18,66,249112,204142,4
2,24,420924,12,528,2363796,10125264,7
2,16,275648,8,752,737512,830744,12
3,31,633371,31,372,1220645,8172664,13
2,12,344208,12,72,622998,2642460,9
3,40,815800,13,360,2359266,3056266,14
3,32,490144,32,960,2110784,5408458,10
2,18,261666,45,684,1128906,8231229,9
3,32,270112,96,981,1040480,3419050,8
3,25,372833,16,250,604258,6250350,2
2,23,770960,57,816,580129,3755497,1
3,28,534044,84,672,582801,717490,10
1,2,111194,14,12,330534,764588,14
3,25,610383,33,733,1276975,7858083,6
1,1,65981,1,15,52198,335068,13
2,17,377621,8,620,898705,3087565,3
2,24,790680,12,312,941520,9247176,5
2,11,142983,16,38,531806,2470176,10
2,22,525547,88,440,1912999,3176371,9
1,4,93292,28,180,635276,2197452,6
2,24,793908,108,468,1520904,630048,5
3,37,281693,74,246,1321319,11925371,3
1,2,133798,4,192,359544,1760618,12
3,30,675860,80,910,863540,1586350,11
1,4,121212,12,172,646308,525916,7
2,11,200205,27,198,475216,4216366,10
3,40,960506,93,653,1459760,11366506,8
2,17,384404,25,799,530578,789803,12
2,12,159702,60,492,751446,1419072,10
2,20,247030,30,40,1084700,2699320,6
2,12,168762,60,594,1011270,2820354,4
2,18,265086,36,756,834120,5832279,6
1,3,75420,30,57,155553,2171250,11
1,4,296936,24,36,651264,3595880,4
1,6,228318,36,288,1012914,2604876,15
1,6,287670,36,522,789882,4678494,5
2,21,702870,31,420,1745877,7616175,5
3,39,696631,117,988,1117584,2785861,13
2,21,718252,42,252,1949766,854238,3
1,3,170889,9,243,322941,1077297,15
3,32,561141,53,629,1460960,928725,9
1,6,292344,48,372,571368,1666020,6
2,24,866004,96,408,2134704,851976,2
3,26,460312,78,104,1650332,6599346,10
3,40,923693,106,186,1465026,5354600,6
3,28,348077,46,494,1159526,1868178,9
2,13,432373,26,240,409214,1594222,1
2,14,194726,14,406,1287874,1470560,10
2,18,320337,63,432,911016,524043,1
3,36,820296,36,564,2374884,3103428,2
3,29,552991,67,116,492864,7505383,1
3,30,439200,30,490,1884080,6517680,2
3,32,444981,74,490,847200,4809205,15
2,14,432250,7,476,526239,6592453,13
3,33,727452,22,792,1335334,7991632,9
3,36,242376,36,444,2253528,3228756,4
2,10,332940,45,465,289500,3107350,3
1,3,141390,27,66,408219,1204332,2
2,16,364800,24,16,1512976,2045976,15
3,38,420723,63,392,2200909,6677372,9
3,39,365937,39,832,2206932,3827720,4
3,25,380575,58,283,591050,2188883,10
3,27,233415,72,675,564885,2276217,10
3,25,389208,75,258,593525,1200333,14
1,1,61746,8,41,109476,144119,10
2,7,101528,21,133,340280,2849241,8
2,23,584441,92,609,1601145,4734826,7
3,37,832450,24,900,1209838,11705739,9
3,25,452000,8,800,718875,8224591,7
2,16,452440,8,432,798296,1466128,7
3,37,887531,74,777,1915897,9721626,11
3,28,433645,93,9,997024,2989448,2
2,24,247248,48,912,1190640,9330996,6
3,27,254385,63,162,1440459,6061662,9
3,37,604888,49,148,2005017,3732079,7
2,19,641126,57,608,1864612,1910212,14
3,30,229980,100,250,1178400,9055310,5
2,22,222849,22,814,1846724,1798918,4
3,36,580104,12,1044,1483500,7654452,1
3,38,380266,101,304,897104,7652566,1
2,24,388956,12,528,1006824,11064684,6
3,29,332910,48,348,1097418,1450145,2
2,9,242325,18,265,272430,1997406,5
1,3,75816,3,282,597336,257457,13
2,13,389382,58,39,672041,415285,14
1,6,303762,30,204,779472,1569180,14
3,35,339231,46,490,1912761,9087376,4
3,37,424575,74,1196,846732,3332232,4
1,5,261775,15,110,344300,3954175,14
1,3,165549,3,120,289674,2560203,8
2,20,298960,50,830,1477330,8656990,12
1,2,127686,14,146,340710,659524,7
2,20,218970,90,220,1626060,1308790,14
3,28,624474,84,746,547344,3214036,6
2,19,437190,85,142,1847598,8067229,5
2,11,296664,49,137,776479,3322401,8
3,30,526300,90,640,1518970,6113830,10
3,31,491308,72,20,1696878,2720663,5
1,4,210784,4,140,546752,2804580,4
3,29,719780,29,705,963834,4542086,10
3,33,668943,99,550,1679304,5357616,6
1,6,293298,42,276,591078,2923938,13
1,3,139374,30,258,185286,659622,1
2,22,410454,99,737,1387243,10948245,14
3,30,435370,30,80,1216630,2785830,8
1,6,333042,48,402,892770,4827312,14
2,7,182567,24,154,654986,1849449,10
3,36,765300,120,444,799200,5071104,13
2,13,315068,39,279,720109,4504012,6
3,36,541896,60,168,2280108,1455312,14
1,5,185825,30,245,745545,2102515,6
2,20,287350,90,290,510000,5314040,2
2,11,342903,44,220,997018,4854245,7
2,10,166775,35,455,323495,4469435,8
1,2,144040,8,64,305614,373422,3
2,17,170025,42,323,1696430,4258678,3
3,28,398178,28,326,1110069,884081,4
2,14,248374,70,364,449708,4215484,9
2,11,247175,16,544,290339,3681546,15
3,30,658730,80,760,1670000,8587070,8
3,33,510884,11,825,832986,6824499,15
3,38,853708,126,291,1937404,5609813,4
3,26,342333,8,69,438204,1386016,2
2,24,434832,72,708,2350584,2193168,13
2,23,751950,69,333,851138,2165415,1
1,3,180828,24,144,307644,2986104,5
2,15,194355,45,232,698527,3512760,6
2,8,284004,8,316,615980,1890296,13
2,16,224048,24,720,1351992,4867808,2
2,7,93817,14,199,512522,2217810,12
3,25,408700,41,650,1666250,5122008,14
2,11,228299,38,115,1005768,4702373,14
2,18,446094,18,99,512946,5774022,8
2,10,202665,25,40,706625,2842880,5
3,31,513670,51,217,1318089,4291257,2
1,2,99874,18,74,220528,1174818,4
3,26,227638,60,268,459264,5956426,8
3,28,265860,37,532,1262622,7156156,14
1,1,54479,8,64,111489,342635,5
3,29,711969,9,473,1617803,2166947,15
2,11,166650,27,275,276639,4453823,15
3,33,672551,77,561,710732,10018415,1
2,10,111985,50,90,633585,2001480,2
3,27,436491,63,612,899298,1338048,6
3,30,331700,90,690,1194670,3501530,6
2,21,265576,31,73,1926823,5193415,7
2,8,173988,20,180,223788,2030284,15
3,32,409760,10,458,1692522,4703637,14
3,30,273600,40,380,1133800,8453150,1
3,27,271683,90,108,774252,3388266,8
2,18,465489,36,702,1410102,6783588,13
3,34,320518,22,963,1622140,1780421,9
2,19,460142,57,247,1820447,8647023,11
1,6,335880,42,528,470094,3823764,5
3,26,622899,86,719,1539191,7577223,2
2,23,403753,69,908,1879134,5684461,4
2,22,562419,77,605,1012462,3169210,10
2,18,548487,90,252,850725,4900635,7
2,7,162781,35,343,498869,1046720,6
2,14,231735,28,91,496195,1178310,4
1,2,97980,12,112,281962,1815246,2
2,8,247344,32,272,434812,1453112,15
3,37,349304,24,86,1579382,11762041,5
2,7,166904,24,129,427091,1925738,15
3,25,460650,41,33,1000316,3519466,14
1,2,131736,20,112,271428,528074,10
1,2,110766,10,38,150436,744478,10
3,29,470786,48,203,805968,2002131,15
2,21,644416,10,420,1670571,813697,4
1,6,136944,6,294,520668,3605100,12
3,25,499008,33,125,1467966,1341408,8
2,20,584540,30,560,1189450,9414480,10
1,2,59052,16,114,106562,1407668,15
3,34,438464,102,102,2178958,2381360,14
3,37,808141,74,814,853676,2220629,13
2,19,464759,95,66,762555,6373521,12
1,1,26881,2,78,90454,352425,6
2,15,426787,7,457,640545,1149030,4
2,23,605877,80,644,1471218,6550572,6
3,28,196476,9,326,815444,3668914,12
2,20,474220,40,560,1727440,2457510,12
2,15,327645,37,607,395805,5812192,7
3,28,680446,46,345,728186,6124188,6
3,33,517088,110,759,1569865,10706388,2
3,25,374891,50,125,1315091,3162466,4
3,25,453141,50,466,679700,1817983,12
2,10,237455,20,445,584505,890090,13
2,22,271359,66,1089,1355310,5142984,10
